track_id,code,code_name,latitude,longitude,geometry_trusted,circumference_m,turn_radius_m,camber_pct,home_straight_m,first_turn_m,run_home_m,surface,sprint_lane,straight_track,geometry_note,camber_note,first_turn_note
albury,TB,thoroughbred,-36.061895,146.953324,False,,,,,,,,,,,,
ararat,H,harness,-37.062791,142.787922,False,,,,,,,,,,,,
ascot,TB,thoroughbred,-31.94428,115.891286,True,2495,178.8,,,,,,,,,,
bairnsdale,TB,thoroughbred,-37.844666,147.604877,False,,,,,,,,,,,,
balaklava,TB,thoroughbred,-34.150916,138.40848,False,,,,,,,,,,,,
ballarat,TB,thoroughbred,-37.471468,143.816337,True,1897,,,,,,,,,,,
bathurst,H,harness,-33.449751,149.575072,True,1109,119.5,,,,,,,,,,
beaudesert,TB,thoroughbred,-27.991388,152.971281,False,,,,,,,,,,,,
belmont,TB,thoroughbred,-31.94428,115.891286,True,2495,178.8,,,,,,,,,,
belmont-park,TB,thoroughbred,-31.94428,115.891286,True,2495,178.8,,,,,,,,,,
bendigo,TB,thoroughbred,-36.722445,144.319523,True,1709,,,,,,,,,,,
broome,TB,thoroughbred,-17.976781,122.185879,True,1913,220.1,,,,,,,,,,
bulli,GR,greyhound,-34.33001,150.912083,False,,,,,,,,,,,,
bunbury,TB,thoroughbred,-33.356249,115.645303,True,1852,139.5,,,,,,,,,,
cairns,TB,thoroughbred,-16.946931,145.746389,True,2598,,,,,,,,,,,
canberra,TB,thoroughbred,-35.23258,149.13947,False,,,,,,,,,,,,
canterbury,TB,thoroughbred,-33.905905,151.114635,True,2357,,,,,,,,,,,
capalaba,GR,greyhound,-27.532325,153.168135,True,767,74.2,,,,,,,,,,
casino,GR,greyhound,-28.880928,153.046396,True,526,,,,,,,,,,,
casterton,TB,thoroughbred,-37.603181,141.413821,False,,,,,,,,,,,,
caulfield,TB,thoroughbred,-37.879556,145.03934,False,,,,,,,,,,,,
darwin,TB,thoroughbred,-12.424144,130.845891,True,2555,,,,,,,,,,,
devonport,TB,thoroughbred,-41.210911,146.34106,True,2235,,,,,,,,,,,
doomben,TB,thoroughbred,-27.438046,153.045621,True,1777,233.9,,,,,,,,,,
dubbo,GR,greyhound,-32.230532,148.633002,True,578,,,,,,,,,,,
flemington,TB,thoroughbred,-37.765542,144.931594,True,2564,,,,,,,,,,,
geelong,TB,thoroughbred,-38.175462,144.375141,True,1885,,,,,,,,,,,
gold-coast,TB,thoroughbred,-28.005253,153.407031,False,,,,,,,,,,,,
gosford,TB,thoroughbred,-33.421928,151.324777,True,2389,145.8,,,,,,,,,,
grafton,GR,greyhound,-29.673662,152.927188,True,615,,,,,,,,,,,
gundagai,TB,thoroughbred,-35.072799,148.119815,False,,,,,,,,,,,,
gympie,TB,thoroughbred,-26.2014,152.646426,True,2241,,,,,,,,,,,
hamilton,TB,thoroughbred,-37.734307,141.990052,False,,,,,,,,,,,,
hawkesbury,TB,thoroughbred,-33.63663,150.775727,False,,,,,,,,,,,,
hobart,H,harness,-42.8238,147.295312,False,,,,,,,,,,,,
ipswich,TB,thoroughbred,-27.615605,152.804765,True,1690,,,,,,,,,,,
kembla-grange,TB,thoroughbred,-34.483267,150.822606,True,1381,,,,,,,,,,,
kilcoy,TB,thoroughbred,-26.941444,152.548293,True,2492,,,,,,,,,,,
kyneton,TB,thoroughbred,-37.237009,144.442179,True,2359,,,,,,,,,,,
launceston,TB,thoroughbred,-41.403715,147.140108,True,2535,323.9,,,,,,,,,,
leeton,H,harness,-34.559728,146.404201,False,,,,,,,,,,,,
lismore,TB,thoroughbred,-28.793331,153.274695,False,,,,,,,,,,,,
mackay,TB,thoroughbred,-21.170613,149.150609,True,2008,276.1,,,,,,,,,,
maitland,GR,greyhound,-32.745717,151.563658,True,477,,,,,,,,,,,
melton,H,harness,-37.6833,144.5833,,1000,,14.0,,,,,,,,,
menangle,H,harness,-34.102835,150.741988,True,1447,,,,,,,,,,,
mildura,H,harness,-34.196584,142.176795,False,,,,,,,,,,,,
moonee-valley,TB,thoroughbred,-37.765542,144.931594,True,2564,,,,,,,,,,,
mornington,TB,thoroughbred,-38.236101,145.070331,False,,,,,,,,,,,,
morphettville,TB,thoroughbred,-34.977824,138.542622,True,1731,,,,,,,,,,,
murtoa,TB,thoroughbred,-36.628557,142.462784,False,,,,,,,,,,,,
muswellbrook,TB,thoroughbred,-32.281053,150.862854,True,2536,,,,,,,,,,,
newcastle,TB,thoroughbred,-32.939478,151.628574,False,,,,,,,,,,,,
nowra,TB,thoroughbred,-34.902361,150.588386,False,,,,,,,,,,,,
pakenham,TB,thoroughbred,-38.096681,145.608063,False,,,,,,,,,,,,
