date,track_id,track,race,distance_m,saddlecloth,place,margin_m,position_800m_m,wide_800m,position_400m_m,wide_400m,time,own_third_quarter_sec,own_fourth_quarter_sec,gain_loss_q2_q3_m,gain_loss_q3_finish_m
2025-01-01,H:echuca,Echuca,1,2160,1,2,1.1,18.6,0,4.2,1,2:43.79,30.67,30.66,14.4,3.1
2025-01-01,H:echuca,Echuca,1,2160,2,10,148.2,5.6,0,5.4,0,2:55.68,31.94,41.87,0.2,
2025-01-01,H:echuca,Echuca,1,2160,3,9,39.7,55.0,0,44.0,0,2:46.91,30.94,30.57,11.0,4.3
2025-01-01,H:echuca,Echuca,1,2160,4,4,14.1,31.0,0,14.4,1,2:44.84,30.51,30.88,16.6,0.3
2025-01-01,H:echuca,Echuca,1,2160,5,7,29.6,39.6,1,23.2,0,2:46.09,30.53,31.39,16.4,-6.4
2025-01-01,H:echuca,Echuca,1,2160,7,5,16.7,24.0,1,9.0,1,2:45.05,30.64,31.49,15.0,-7.7
2025-01-01,H:echuca,Echuca,1,2160,8,8,34.3,34.4,1,20.0,1,2:46.47,30.69,32.0,14.4,-14.3
2025-01-01,H:echuca,Echuca,1,2160,9,3,10.8,29.0,1,11.0,2,2:44.57,30.4,30.88,18.0,0.2
2025-01-01,H:echuca,Echuca,1,2160,10,6,18.4,23.8,0,9.6,0,2:45.19,30.7,31.58,14.2,-8.8
2025-01-01,H:echuca,Echuca,1,2160,11,1,0.0,0.0,0,0.0,0,2:43.70,31.8,30.9,0.0,0.0
2025-01-01,H:echuca,Echuca,2,1755,1,6,14.0,4.2,0,5.6,0,2:12.39,29.8,30.32,-1.4,-8.4
2025-01-01,H:echuca,Echuca,2,1755,2,4,13.3,9.4,0,9.6,0,2:12.34,29.71,29.97,-0.2,-3.7
2025-01-01,H:echuca,Echuca,2,1755,3,1,0.0,0.0,0,0.0,0,2:11.30,29.7,29.7,0.0,0.0
2025-01-01,H:echuca,Echuca,2,1755,4,3,10.9,6.6,1,7.2,1,2:12.15,29.74,29.97,-0.6,-3.7
2025-01-01,H:echuca,Echuca,2,1755,5,7,18.0,14.2,0,11.6,2,2:12.70,29.51,30.17,2.6,-6.4
2025-01-01,H:echuca,Echuca,2,1755,8,2,6.6,1.8,1,3.2,1,2:11.81,29.8,29.95,-1.4,-3.4
2025-01-01,H:echuca,Echuca,2,1755,9,8,38.2,30.0,0,22.6,0,2:14.27,29.15,30.85,7.4,-15.6
2025-01-01,H:echuca,Echuca,2,1755,10,5,13.8,12.6,1,6.2,2,2:12.37,29.23,30.26,6.4,-7.6
2025-01-01,H:echuca,Echuca,3,1755,1,3,6.1,0.2,0,0.0,0,2:10.47,29.79,29.64,0.2,-6.1
2025-01-01,H:echuca,Echuca,3,1755,2,5,8.9,8.2,1,10.2,1,2:10.68,29.95,29.11,-2.0,1.3
2025-01-01,H:echuca,Echuca,3,1755,3,6,12.7,4.0,1,6.0,1,2:10.97,29.95,29.69,-2.0,-6.7
2025-01-01,H:echuca,Echuca,3,1755,4,1,0.0,0.0,1,1.4,1,2:10.00,29.9,29.1,-1.4,1.4
2025-01-01,H:echuca,Echuca,3,1755,5,8,31.1,16.0,0,15.8,1,2:12.38,29.8,30.31,0.2,-15.3
2025-01-01,H:echuca,Echuca,3,1755,7,2,0.5,4.0,0,4.4,0,2:10.04,29.83,28.92,-0.4,3.9
2025-01-01,H:echuca,Echuca,3,1755,8,7,13.3,8.0,0,9.4,0,2:11.02,29.91,29.48,-1.4,-3.9
