date,track_id,track,race,distance_m,saddlecloth,place,margin_m,position_800m_m,wide_800m,position_400m_m,wide_400m,time,own_third_quarter_sec,own_fourth_quarter_sec,gain_loss_q2_q3_m,gain_loss_q3_finish_m
2024-01-24,H:mildura,Mildura,1,2190,1,5,7.8,0.0,0,0.0,0,2:45.10,29.3,29.87,0.0,-7.8
2024-01-24,H:mildura,Mildura,1,2190,2,7,16.7,8.2,1,15.0,1,2:45.78,29.8,29.42,-6.8,-1.7
2024-01-24,H:mildura,Mildura,1,2190,3,2,4.8,4.0,1,0.4,2,2:44.87,29.04,29.62,3.6,-4.4
2024-01-24,H:mildura,Mildura,1,2190,5,6,9.5,8.6,0,8.6,1,2:45.23,29.3,29.37,0.0,-0.9
2024-01-24,H:mildura,Mildura,1,2190,6,8,17.5,12.6,0,15.2,0,2:45.84,29.49,29.47,-2.6,-2.3
2024-01-24,H:mildura,Mildura,1,2190,7,4,7.7,0.0,1,0.2,1,2:45.09,29.31,29.85,-0.2,-7.5
2024-01-24,H:mildura,Mildura,1,2190,8,1,0.0,4.4,0,4.4,0,2:44.50,29.3,28.98,0.0,4.4
2024-01-24,H:mildura,Mildura,1,2190,9,3,7.1,11.0,2,4.4,2,2:45.05,28.82,29.5,6.6,-2.7
2024-01-24,H:mildura,Mildura,2,1790,1,2,3.4,4.6,0,4.2,0,2:15.66,29.57,29.04,0.4,0.8
2024-01-24,H:mildura,Mildura,2,1790,2,6,11.9,11.0,1,11.0,2,2:16.31,29.6,29.17,0.0,-0.9
2024-01-24,H:mildura,Mildura,2,1790,3,4,7.9,7.0,1,7.2,1,2:16.00,29.62,29.15,-0.2,-0.7
2024-01-24,H:mildura,Mildura,2,1790,5,1,0.0,0.0,0,0.0,0,2:15.40,29.6,29.1,0.0,0.0
2024-01-24,H:mildura,Mildura,2,1790,6,5,8.8,17.8,0,14.2,1,2:16.07,29.33,28.71,3.6,5.4
2024-01-24,H:mildura,Mildura,2,1790,7,7,12.1,8.8,0,9.8,0,2:16.32,29.67,29.27,-1.0,-2.3
2024-01-24,H:mildura,Mildura,2,1790,8,8,12.2,15.4,1,15.0,2,2:16.33,29.57,28.9,0.4,2.8
2024-01-24,H:mildura,Mildura,2,1790,9,9,14.9,13.4,0,14.0,0,2:16.54,29.64,29.17,-0.6,-0.9
2024-01-24,H:mildura,Mildura,2,1790,10,3,6.6,2.8,1,2.4,1,2:15.90,29.57,29.4,0.4,-4.2
2024-01-24,H:mildura,Mildura,3,1790,1,9,15.0,6.2,1,6.0,1,2:13.73,29.39,29.44,0.2,-9.0
2024-01-24,H:mildura,Mildura,3,1790,2,5,9.1,4.2,0,4.2,0,2:13.29,29.4,29.15,0.0,-4.9
2024-01-24,H:mildura,Mildura,3,1790,3,10,20.7,11.0,1,10.4,2,2:14.16,29.36,29.54,0.6,-10.3
2024-01-24,H:mildura,Mildura,3,1790,4,3,6.4,0.0,0,0.0,0,2:13.08,29.4,29.26,0.0,-6.4
2024-01-24,H:mildura,Mildura,3,1790,5,7,10.3,15.4,1,14.6,2,2:13.38,29.34,28.49,0.8,4.3
2024-01-24,H:mildura,Mildura,3,1790,6,8,13.8,17.4,0,17.4,0,2:13.64,29.4,28.54,0.0,3.6
2024-01-24,H:mildura,Mildura,3,1790,7,2,2.1,8.0,0,8.8,0,2:12.76,29.45,28.32,-0.8,6.7
2024-01-24,H:mildura,Mildura,3,1790,8,1,0.0,1.8,1,0.6,1,2:12.60,29.31,28.76,1.2,0.6
2024-01-24,H:mildura,Mildura,3,1790,9,4,8.0,20.2,1,18.4,1,2:13.20,29.26,28.06,1.8,10.4
2024-01-24,H:mildura,Mildura,3,1790,10,6,9.1,12.8,0,12.4,1,2:13.29,29.37,28.56,0.4,3.3
2024-01-24,H:mildura,Mildura,4,1790,1,9,17.0,12.0,0,15.4,0,2:13.91,29.75,29.42,-3.4,-1.6
2024-01-24,H:mildura,Mildura,4,1790,2,8,14.3,7.8,0,9.8,0,2:13.70,29.65,29.63,-2.0,-4.5
2024-01-24,H:mildura,Mildura,4,1790,3,4,9.3,3.8,0,5.8,0,2:13.31,29.65,29.55,-2.0,-3.5
2024-01-24,H:mildura,Mildura,4,1790,4,2,0.4,0.6,1,0.0,1,2:12.63,29.46,29.33,0.6,-0.4
2024-01-24,H:mildura,Mildura,4,1790,5,3,3.2,0.0,0,0.0,0,2:12.85,29.5,29.53,0.0,-3.2
2024-01-24,H:mildura,Mildura,4,1790,6,7,12.4,8.6,1,9.0,1,2:13.55,29.53,29.55,-0.4,-3.4
2024-01-24,H:mildura,Mildura,4,1790,7,6,11.5,16.2,2,9.8,2,2:13.48,29.03,29.42,6.4,-1.7
2024-01-24,H:mildura,Mildura,4,1790,8,10,20.0,13.0,1,17.2,1,2:14.14,29.81,29.5,-4.2,-2.8
2024-01-24,H:mildura,Mildura,4,1790,9,5,10.2,4.6,1,5.2,1,2:13.38,29.55,29.66,-0.6,-5.0
2024-01-24,H:mildura,Mildura,4,1790,10,1,0.0,11.2,2,5.4,2,2:12.60,29.07,28.91,5.8,5.4
2024-01-24,H:mildura,Mildura,5,1790,1,5,6.6,6.0,0,4.0,1,2:10.41,28.35,29.49,2.0,-2.6
2024-01-24,H:mildura,Mildura,5,1790,2,1,0.0,0.0,0,0.0,0,2:09.90,28.5,29.3,0.0,0.0
2024-01-24,H:mildura,Mildura,5,1790,3,3,3.7,9.8,1,4.6,2,2:10.18,28.13,29.23,5.2,0.9
2024-01-24,H:mildura,Mildura,5,1790,4,2,2.5,12.2,0,7.2,0,2:10.09,28.15,28.96,5.0,4.7
2024-01-24,H:mildura,Mildura,5,1790,5,7,27.6,6.0,1,10.6,1,2:12.02,28.81,30.54,-4.6,-17.0
2024-01-24,H:mildura,Mildura,5,1790,7,6,11.3,19.2,1,14.0,2,2:10.77,28.13,29.1,5.2,2.7
2024-01-24,H:mildura,Mildura,5,1790,9,4,4.4,15.2,1,9.0,2,2:10.24,28.06,28.96,6.2,4.6
2024-01-24,H:mildura,Mildura,6,2190,1,1,0.0,0.0,0,0.0,0,2:40.80,28.1,28.5,0.0,0.0
2024-01-24,H:mildura,Mildura,6,2190,2,7,60.7,0.8,1,8.8,1,2:45.34,28.64,32.18,-8.0,-51.9
2024-01-24,H:mildura,Mildura,6,2190,3,5,35.4,13.4,0,16.6,0,2:43.45,28.32,29.83,-3.2,-18.8
2024-01-24,H:mildura,Mildura,6,2190,4,4,32.9,4.8,0,6.6,0,2:43.26,28.21,30.36,-1.8,-26.3
2024-01-24,H:mildura,Mildura,6,2190,5,6,46.9,9.6,1,13.0,2,2:44.31,28.32,30.9,-3.4,-33.9
2024-01-24,H:mildura,Mildura,6,2190,7,3,31.3,9.6,0,11.2,0,2:43.14,28.2,29.92,-1.6,-20.1
2024-01-24,H:mildura,Mildura,6,2190,9,2,28.7,5.0,1,7.8,2,2:42.95,28.29,29.98,-2.8,-20.9
2024-01-24,H:mildura,Mildura,7,2190,1,5,6.0,0.2,0,0.0,0,2:44.27,29.58,30.55,0.2,-6.0
2024-01-24,H:mildura,Mildura,7,2190,2,8,15.6,16.8,1,15.0,1,2:45.03,29.47,30.14,1.8,-0.6
2024-01-24,H:mildura,Mildura,7,2190,3,6,10.9,12.4,1,7.2,2,2:44.66,29.21,30.38,5.2,-3.7
2024-01-24,H:mildura,Mildura,7,2190,4,2,3.7,8.2,1,3.2,2,2:44.09,29.23,30.14,5.0,-0.5
2024-01-24,H:mildura,Mildura,7,2190,5,7,11.7,13.4,0,9.6,1,2:44.72,29.32,30.26,3.8,-2.1
2024-01-24,H:mildura,Mildura,7,2190,6,10,138.9,21.2,1,21.4,1,2:54.75,29.54,38.89,-0.2,
2024-01-24,H:mildura,Mildura,7,2190,7,4,5.9,4.6,0,4.6,0,2:44.27,29.6,30.2,0.0,-1.3
2024-01-24,H:mildura,Mildura,7,2190,8,3,4.1,0.0,1,0.4,1,2:44.12,29.63,30.38,-0.4,-3.7
2024-01-24,H:mildura,Mildura,7,2190,9,9,19.3,4.2,1,4.8,1,2:45.32,29.64,31.19,-0.6,-14.5
2024-01-24,H:mildura,Mildura,7,2190,10,1,0.0,9.0,0,8.6,0,2:43.80,29.58,29.46,0.4,8.6
2024-01-24,H:mildura,Mildura,8,2190,1,4,10.2,8.4,0,8.6,0,2:46.07,28.61,28.71,-0.2,-1.6
2024-01-24,H:mildura,Mildura,8,2190,3,3,6.4,4.0,0,4.2,0,2:45.78,28.61,28.76,-0.2,-2.2
2024-01-24,H:mildura,Mildura,8,2190,4,6,29.7,13.4,0,15.8,1,2:47.53,28.77,29.59,-2.4,-13.9
2024-01-24,H:mildura,Mildura,8,2190,5,5,10.7,0.0,0,0.0,0,2:46.10,28.6,29.36,0.0,-10.7
2024-01-24,H:mildura,Mildura,8,2190,6,1,0.0,7.8,1,5.4,1,2:45.30,28.43,28.22,2.4,5.4
2024-01-24,H:mildura,Mildura,8,2190,7,2,3.4,3.4,1,1.2,1,2:45.56,28.44,28.76,2.2,-2.2
2024-01-24,H:mildura,Mildura,9,1790,2,4,13.5,32.2,0,23.6,0,2:12.97,28.48,29.44,8.6,10.1
2024-01-24,H:mildura,Mildura,9,1790,3,8,48.8,4.0,1,11.6,1,2:15.76,29.61,32.99,-7.6,-37.2
2024-01-24,H:mildura,Mildura,9,1790,4,5,17.2,4.0,0,4.2,0,2:13.26,29.1,31.18,-0.2,-13.0
2024-01-24,H:mildura,Mildura,9,1790,5,2,3.3,0.0,0,0.0,0,2:12.16,29.1,30.45,0.0,-3.3
2024-01-24,H:mildura,Mildura,9,1790,7,3,3.8,12.8,1,8.0,2,2:12.20,28.75,29.88,4.8,4.2
2024-01-24,H:mildura,Mildura,9,1790,8,1,0.0,8.8,1,4.0,1,2:11.90,28.75,29.9,4.8,4.0
2024-01-24,H:mildura,Mildura,9,1790,9,7,23.6,16.4,0,12.8,0,2:13.77,28.82,31.01,3.6,-10.8
2024-01-24,H:mildura,Mildura,9,1790,10,6,18.3,27.8,0,20.4,1,2:13.35,28.56,30.04,7.4,2.1
2024-01-24,H:mildura,Mildura,10,1790,2,4,51.2,13.8,0,14.6,1,2:15.12,29.19,30.98,-0.8,-36.6
2024-01-24,H:mildura,Mildura,10,1790,4,7,88.9,12.0,1,42.0,0,2:17.93,31.28,31.71,-30.0,-46.9
2024-01-24,H:mildura,Mildura,10,1790,5,5,55.5,4.8,0,17.4,0,2:15.44,30.03,31.09,-12.6,-38.1
2024-01-24,H:mildura,Mildura,10,1790,6,1,0.0,0.0,0,0.0,0,2:11.30,29.1,28.4,0.0,0.0
2024-01-24,H:mildura,Mildura,10,1790,7,3,43.1,9.2,0,11.6,0,2:14.52,29.3,30.62,-2.4,-31.5
2024-01-24,H:mildura,Mildura,10,1790,8,2,17.2,2.0,1,4.2,0,2:12.58,29.27,29.32,-2.2,-13.0
2024-01-24,H:mildura,Mildura,10,1790,11,6,75.4,60.0,0,65.0,0,2:16.93,29.47,29.13,-5.0,-10.4
2024-01-24,H:mildura,Mildura,11,2190,1,7,17.7,10.6,0,10.0,0,2:48.20,29.85,30.88,0.6,-7.7
2024-01-24,H:mildura,Mildura,11,2190,2,2,1.3,5.6,0,4.8,0,2:46.90,29.84,30.04,0.8,3.5
2024-01-24,H:mildura,Mildura,11,2190,3,4,7.1,0.0,0,0.0,0,2:47.36,29.9,30.83,0.0,-7.1
2024-01-24,H:mildura,Mildura,11,2190,4,9,32.3,0.6,1,9.6,1,2:49.36,30.56,32.01,-9.0,-22.7
2024-01-24,H:mildura,Mildura,11,2190,5,10,112.3,5.0,1,18.8,1,2:55.71,30.89,37.34,-13.8,-93.5
2024-01-24,H:mildura,Mildura,11,2190,6,8,25.9,18.0,2,7.8,2,2:48.85,29.13,31.66,10.2,-18.1
2024-01-24,H:mildura,Mildura,11,2190,7,3,7.0,15.0,0,14.4,0,2:47.36,29.86,29.74,0.6,7.4
2024-01-24,H:mildura,Mildura,11,2190,8,1,0.0,9.2,1,2.4,1,2:46.80,29.39,30.12,6.8,2.4
2024-01-24,H:mildura,Mildura,11,2190,9,6,17.4,13.2,1,27.6,1,2:48.18,30.98,29.53,-14.4,10.2
2024-01-24,H:mildura,Mildura,11,2190,10,5,9.0,17.2,1,12.6,2,2:47.51,29.56,30.03,4.6,3.6
2024-01-25,H:shepparton,Shepparton,1,1690,1,5,11.9,4.8,0,5.5,0,2:05.00,28.76,30.3,-0.7,-6.4
2024-01-25,H:shepparton,Shepparton,1,1690,2,9,18.6,0.0,0,0.0,0,2:05.49,28.7,31.19,0.0,-18.6
2024-01-25,H:shepparton,Shepparton,1,1690,3,4,11.6,7.4,1,3.6,2,2:04.97,28.43,30.41,3.8,-8.0
2024-01-25,H:shepparton,Shepparton,1,1690,4,2,1.4,13.0,1,6.7,3,2:04.21,28.26,29.43,6.3,5.3
2024-01-25,H:shepparton,Shepparton,1,1690,5,7,16.9,15.0,0,11.2,0,2:05.37,28.45,30.25,3.8,-5.7
2024-01-25,H:shepparton,Shepparton,1,1690,6,6,12.3,2.8,1,1.8,1,2:05.03,28.63,30.6,1.0,-10.5
2024-01-25,H:shepparton,Shepparton,1,1690,8,8,17.7,9.4,0,6.2,1,2:05.43,28.48,30.68,3.2,-11.5
2024-01-25,H:shepparton,Shepparton,1,1690,9,3,1.8,17.2,1,10.5,3,2:04.24,28.23,29.18,6.7,8.7
2024-01-25,H:shepparton,Shepparton,1,1690,10,10,117.1,72.5,0,77.4,0,2:12.84,29.16,32.91,-4.9,-39.7
2024-01-25,H:shepparton,Shepparton,1,1690,11,1,0.0,21.6,1,14.6,2,2:04.11,28.22,28.75,7.0,14.6
2024-01-25,H:shepparton,Shepparton,2,2190,1,9,78.3,13.9,0,23.8,0,2:54.15,30.57,35.15,-9.9,-54.5
2024-01-25,H:shepparton,Shepparton,2,2190,2,5,11.6,4.1,0,4.4,0,2:49.18,29.83,31.65,-0.3,-7.2
2024-01-25,H:shepparton,Shepparton,2,2190,3,8,32.7,11.6,1,12.8,1,2:50.75,29.91,32.58,-1.2,-19.9
2024-01-25,H:shepparton,Shepparton,2,2190,4,7,30.7,0.0,0,0.0,0,2:50.60,29.8,33.4,0.0,-30.7
2024-01-25,H:shepparton,Shepparton,2,2190,5,10,117.2,67.9,0,78.0,0,2:57.05,30.67,33.95,-10.1,-39.2
2024-01-25,H:shepparton,Shepparton,2,2190,6,6,15.3,16.0,1,10.6,2,2:49.45,29.41,31.45,5.4,-4.7
2024-01-25,H:shepparton,Shepparton,2,2190,7,2,1.8,8.5,0,7.0,1,2:48.45,29.7,30.72,1.5,5.2
2024-01-25,H:shepparton,Shepparton,2,2190,8,3,5.8,21.4,1,12.3,0,2:48.74,29.14,30.61,9.1,6.5
2024-01-25,H:shepparton,Shepparton,2,2190,9,1,0.0,6.2,1,1.3,1,2:48.31,29.44,31.01,4.9,1.3
2024-01-25,H:shepparton,Shepparton,2,2190,10,4,6.3,26.4,1,15.5,2,2:48.79,29.01,30.42,10.9,9.2
2024-01-25,H:shepparton,Shepparton,3,1690,1,7,12.3,5.2,0,5.2,0,2:04.95,28.7,29.48,0.0,-7.1
2024-01-25,H:shepparton,Shepparton,3,1690,2,2,4.9,0.0,0,0.0,0,2:04.40,28.7,29.3,0.0,-4.9
2024-01-25,H:shepparton,Shepparton,3,1690,3,6,9.0,12.6,1,11.4,1,2:04.70,28.62,28.78,1.2,2.4
2024-01-25,H:shepparton,Shepparton,3,1690,4,3,5.7,7.8,1,7.2,1,2:04.46,28.66,28.85,0.6,1.5
2024-01-25,H:shepparton,Shepparton,3,1690,5,9,18.3,3.2,1,2.8,1,2:05.40,28.67,30.1,0.4,-15.5
2024-01-25,H:shepparton,Shepparton,3,1690,6,5,7.8,21.4,1,8.4,2,2:04.61,27.77,28.91,13.0,0.6
2024-01-25,H:shepparton,Shepparton,3,1690,7,8,12.4,14.3,0,13.6,0,2:04.95,28.65,28.88,0.7,1.2
2024-01-25,H:shepparton,Shepparton,3,1690,8,4,5.8,9.8,0,9.4,0,2:04.47,28.67,28.7,0.4,3.6
2024-01-25,H:shepparton,Shepparton,3,1690,9,1,0.0,16.8,1,4.2,2,2:04.03,27.8,28.63,12.6,4.2
2024-01-25,H:shepparton,Shepparton,4,2190,1,1,0.0,0.0,0,0.0,0,2:43.77,28.5,29.77,0.0,0.0
2024-01-25,H:shepparton,Shepparton,4,2190,2,4,21.2,17.7,1,9.3,1,2:45.35,27.91,30.68,8.4,-11.9
2024-01-25,H:shepparton,Shepparton,4,2190,3,7,32.2,13.1,1,17.0,1,2:46.17,28.8,30.94,-3.9,-15.2
