date,track_id,track,race,distance_m,saddlecloth,place,margin_m,position_800m_m,wide_800m,position_400m_m,wide_400m,time,own_third_quarter_sec,own_fourth_quarter_sec,gain_loss_q2_q3_m,gain_loss_q3_finish_m
2024-01-25,H:shepparton,Shepparton,4,2190,4,3,19.7,4.2,0,4.1,0,2:45.24,28.5,30.94,0.1,-15.6
2024-01-25,H:shepparton,Shepparton,4,2190,5,5,21.6,13.3,0,20.3,0,2:45.39,29.03,29.92,-7.0,-1.3
2024-01-25,H:shepparton,Shepparton,4,2190,6,8,42.0,21.7,0,34.5,1,2:46.90,29.46,30.4,-12.8,-7.5
2024-01-25,H:shepparton,Shepparton,4,2190,7,9,42.8,23.0,1,30.4,1,2:46.96,29.07,30.76,-7.4,-12.4
2024-01-25,H:shepparton,Shepparton,4,2190,8,11,144.9,9.0,0,96.6,0,2:54.56,34.86,33.56,,
2024-01-25,H:shepparton,Shepparton,4,2190,9,6,26.5,8.4,1,11.5,0,2:45.74,28.73,30.91,-3.1,-15.0
2024-01-25,H:shepparton,Shepparton,4,2190,10,2,8.8,3.4,1,3.2,1,2:44.43,28.49,30.2,0.2,-5.6
2024-01-25,H:shepparton,Shepparton,4,2190,11,10,72.9,17.5,0,31.7,0,2:49.21,29.56,32.91,-14.2,-41.2
2024-01-25,H:shepparton,Shepparton,5,1690,1,3,9.9,4.5,0,3.9,0,2:01.86,28.46,28.78,0.6,-6.0
2024-01-25,H:shepparton,Shepparton,5,1690,2,6,17.1,6.4,1,1.9,1,2:02.40,28.17,29.47,4.5,-15.2
2024-01-25,H:shepparton,Shepparton,5,1690,3,7,17.5,10.4,1,11.3,1,2:02.43,28.57,28.83,-0.9,-6.2
2024-01-25,H:shepparton,Shepparton,5,1690,4,4,10.1,12.9,0,14.2,0,2:01.87,28.59,28.07,-1.3,4.1
2024-01-25,H:shepparton,Shepparton,5,1690,5,2,4.2,0.0,0,0.0,0,2:01.43,28.5,28.63,0.0,-4.2
2024-01-25,H:shepparton,Shepparton,5,1690,6,8,33.9,15.3,1,6.1,2,2:03.65,27.84,30.42,9.2,-27.8
2024-01-25,H:shepparton,Shepparton,5,1690,8,1,0.0,8.5,0,6.1,1,2:01.12,28.33,27.89,2.4,6.1
2024-01-25,H:shepparton,Shepparton,5,1690,9,5,14.1,2.2,1,1.9,2,2:02.17,28.47,29.24,0.3,-12.2
2024-01-25,H:shepparton,Shepparton,6,1690,1,6,12.0,8.6,0,9.3,0,2:05.30,29.93,28.23,-0.7,-2.7
2024-01-25,H:shepparton,Shepparton,6,1690,2,7,15.3,20.1,1,17.7,1,2:05.55,29.67,27.88,2.4,2.4
2024-01-25,H:shepparton,Shepparton,6,1690,3,8,16.1,15.6,1,13.5,1,2:05.61,29.71,28.24,2.1,-2.6
2024-01-25,H:shepparton,Shepparton,6,1690,4,2,3.8,0.0,0,0.0,0,2:04.69,29.9,28.29,0.0,-3.8
2024-01-25,H:shepparton,Shepparton,6,1690,5,5,11.1,4.6,0,5.2,0,2:05.24,29.93,28.47,-0.6,-5.9
2024-01-25,H:shepparton,Shepparton,6,1690,6,9,24.4,12.7,0,14.3,0,2:06.23,29.99,28.8,-1.6,-10.1
2024-01-25,H:shepparton,Shepparton,6,1690,7,4,6.9,7.8,1,5.6,1,2:04.93,29.72,28.13,2.2,-1.3
2024-01-25,H:shepparton,Shepparton,6,1690,8,1,0.0,11.5,1,9.3,1,2:04.41,29.71,27.34,2.2,9.3
2024-01-25,H:shepparton,Shepparton,6,1690,9,3,5.2,3.1,1,0.4,1,2:04.80,29.7,28.37,2.7,-4.8
2024-01-25,H:shepparton,Shepparton,7,1690,1,5,17.3,8.1,0,11.9,1,2:08.02,30.07,29.55,-3.8,-5.4
2024-01-25,H:shepparton,Shepparton,7,1690,2,6,188.5,4.1,0,11.5,0,2:20.79,30.34,42.35,-7.4,
2024-01-25,H:shepparton,Shepparton,7,1690,3,4,16.6,0.0,0,0.6,0,2:07.97,29.84,30.33,-0.6,-16.0
2024-01-25,H:shepparton,Shepparton,7,1690,4,3,8.0,7.5,1,5.1,1,2:07.33,29.61,29.36,2.4,-2.9
2024-01-25,H:shepparton,Shepparton,7,1690,7,2,4.4,3.5,1,0.0,1,2:07.06,29.54,29.46,3.5,-4.4
2024-01-25,H:shepparton,Shepparton,7,1690,9,1,0.0,12.0,1,1.9,2,2:06.73,29.05,28.99,10.1,1.9
2024-01-25,H:shepparton,Shepparton,8,2190,1,5,26.1,5.2,0,14.1,0,2:45.46,29.33,29.56,-8.9,-12.0
2024-01-25,H:shepparton,Shepparton,8,2190,2,7,50.0,12.4,1,12.6,2,2:47.24,28.71,31.44,-0.2,-37.4
2024-01-25,H:shepparton,Shepparton,8,2190,3,6,26.6,0.0,0,9.4,0,2:45.49,29.37,29.92,-9.4,-17.2
2024-01-25,H:shepparton,Shepparton,8,2190,4,4,20.1,14.0,0,20.1,0,2:45.01,29.13,28.68,-6.1,0.0
2024-01-25,H:shepparton,Shepparton,8,2190,5,8,67.5,3.6,1,15.0,1,2:48.54,29.51,32.57,-11.4,-52.5
2024-01-25,H:shepparton,Shepparton,8,2190,6,2,0.5,11.8,2,3.8,0,2:43.56,28.13,28.39,8.0,3.3
2024-01-25,H:shepparton,Shepparton,8,2190,7,1,0.0,8.2,1,0.0,0,2:43.51,28.11,28.61,8.2,0.0
2024-01-25,H:shepparton,Shepparton,8,2190,8,3,17.6,9.8,0,16.4,3,2:44.83,29.17,28.76,-6.6,-1.2
2024-01-25,H:shepparton,Shepparton,9,1690,1,8,12.6,8.0,0,7.7,0,2:08.71,30.17,29.84,0.3,-4.9
2024-01-25,H:shepparton,Shepparton,9,1690,2,1,0.0,4.0,0,4.1,0,2:07.77,30.2,29.17,-0.1,4.1
2024-01-25,H:shepparton,Shepparton,9,1690,3,5,9.0,11.4,1,4.5,2,2:08.44,29.67,29.81,6.9,-4.5
2024-01-25,H:shepparton,Shepparton,9,1690,4,6,10.6,15.8,1,8.1,2,2:08.56,29.61,29.66,7.7,-2.5
2024-01-25,H:shepparton,Shepparton,9,1690,5,3,2.9,0.0,0,0.0,0,2:07.98,30.2,29.68,0.0,-2.9
2024-01-25,H:shepparton,Shepparton,9,1690,6,4,7.6,7.4,1,5.0,1,2:08.34,30.01,29.67,2.4,-2.6
2024-01-25,H:shepparton,Shepparton,9,1690,7,2,0.8,3.4,1,1.0,1,2:07.83,30.01,29.46,2.4,0.2
2024-01-25,H:shepparton,Shepparton,9,1690,8,7,10.9,12.4,0,9.0,1,2:08.57,29.94,29.6,3.4,-1.9
2024-01-25,H:shepparton,Shepparton,10,1690,1,4,6.4,4.4,0,4.8,0,2:08.37,29.33,29.92,-0.4,-1.6
2024-01-25,H:shepparton,Shepparton,10,1690,2,3,3.8,0.6,1,0.8,1,2:08.18,29.31,30.02,-0.2,-3.0
2024-01-25,H:shepparton,Shepparton,10,1690,3,6,8.9,12.6,0,13.8,0,2:08.56,29.39,29.44,-1.2,4.9
2024-01-25,H:shepparton,Shepparton,10,1690,4,5,6.7,0.0,0,0.0,0,2:08.39,29.3,30.3,0.0,-6.7
2024-01-25,H:shepparton,Shepparton,10,1690,5,7,12.3,5.4,1,6.6,1,2:08.82,29.38,30.22,-1.2,-5.7
2024-01-25,H:shepparton,Shepparton,10,1690,6,2,0.4,11.4,1,11.8,1,2:07.94,29.34,28.96,-0.4,11.4
2024-01-25,H:shepparton,Shepparton,10,1690,7,8,14.2,18.4,1,16.6,1,2:08.95,29.17,29.62,1.8,2.4
2024-01-25,H:shepparton,Shepparton,10,1690,8,1,0.0,8.0,0,8.8,0,2:07.90,29.36,29.15,-0.8,8.8
2024-01-26,H:cranbourne,Cranbourne,1,1609,1,4,6.9,0.0,0,0.0,0,1:57.33,28.39,29.5,0.0,-6.9
2024-01-26,H:cranbourne,Cranbourne,1,1609,3,8,14.5,8.0,0,14.6,0,1:57.90,28.87,28.99,-6.6,0.1
2024-01-26,H:cranbourne,Cranbourne,1,1609,4,9,39.1,4.0,0,9.6,0,1:59.78,28.78,31.13,-5.6,-29.5
2024-01-26,H:cranbourne,Cranbourne,1,1609,5,6,9.5,7.6,1,6.0,1,1:57.52,28.28,29.25,1.6,-3.5
2024-01-26,H:cranbourne,Cranbourne,1,1609,6,3,5.3,11.8,1,6.2,2,1:57.20,28.0,28.94,5.6,0.9
2024-01-26,H:cranbourne,Cranbourne,1,1609,7,2,4.3,13.2,0,11.2,1,1:57.13,28.26,28.5,2.0,6.9
2024-01-26,H:cranbourne,Cranbourne,1,1609,8,5,9.1,16.4,1,11.8,2,1:57.49,28.07,28.81,4.6,2.7
2024-01-26,H:cranbourne,Cranbourne,1,1609,9,1,0.0,3.4,1,1.0,1,1:56.80,28.23,28.93,2.4,1.0
2024-01-26,H:cranbourne,Cranbourne,1,1609,11,7,14.1,21.6,1,16.2,1,1:57.87,28.02,28.85,5.4,2.1
2024-01-26,H:cranbourne,Cranbourne,2,2080,1,9,37.0,4.0,0,6.0,0,2:38.18,29.08,33.17,-2.0,-31.0
2024-01-26,H:cranbourne,Cranbourne,2,2080,2,3,3.8,12.0,0,14.0,0,2:35.51,29.17,30.02,-2.0,10.2
2024-01-26,H:cranbourne,Cranbourne,2,2080,3,6,8.5,16.0,0,18.0,0,2:35.88,29.17,30.07,-2.0,9.5
2024-01-26,H:cranbourne,Cranbourne,2,2080,4,4,4.6,17.6,1,14.4,1,2:35.57,28.78,30.05,3.2,9.8
2024-01-26,H:cranbourne,Cranbourne,2,2080,5,8,16.7,4.2,1,2.8,1,2:36.55,28.86,31.86,1.4,-13.9
2024-01-26,H:cranbourne,Cranbourne,2,2080,6,7,15.2,0.0,0,0.0,0,2:36.42,28.97,31.96,0.0,-15.2
2024-01-26,H:cranbourne,Cranbourne,2,2080,7,1,0.0,9.2,1,8.4,1,2:35.20,28.96,30.16,0.8,8.4
2024-01-26,H:cranbourne,Cranbourne,2,2080,8,5,8.4,8.0,0,10.0,0,2:35.88,29.15,30.68,-2.0,1.6
2024-01-26,H:cranbourne,Cranbourne,2,2080,9,2,0.8,13.4,1,10.4,2,2:35.26,28.8,30.06,3.0,9.6
2024-01-26,H:cranbourne,Cranbourne,3,2080,1,6,26.2,4.4,0,8.4,0,2:39.05,29.25,32.79,-4.0,-17.8
2024-01-26,H:cranbourne,Cranbourne,3,2080,2,7,31.6,10.4,0,18.6,0,2:39.49,29.58,32.41,-8.2,-13.0
2024-01-26,H:cranbourne,Cranbourne,3,2080,3,3,11.7,8.0,1,2.2,1,2:37.86,28.54,32.14,5.8,-9.5
2024-01-26,H:cranbourne,Cranbourne,3,2080,4,4,15.7,13.2,1,13.6,0,2:38.19,29.02,31.56,-0.4,-2.1
2024-01-26,H:cranbourne,Cranbourne,3,2080,5,5,18.8,17.8,1,16.4,1,2:38.44,28.89,31.59,1.4,-2.4
2024-01-26,H:cranbourne,Cranbourne,3,2080,6,8,44.2,4.0,1,11.0,1,2:40.53,29.43,33.99,-7.0,-33.2
2024-01-26,H:cranbourne,Cranbourne,3,2080,7,2,11.4,14.6,0,22.0,1,2:37.84,29.59,30.57,-7.4,10.6
