date,greyhound,weight_kg
2026-09-24,ACE CHASER,32.1
2026-09-24,AMRON SAMMY,33.7
2026-09-24,ANCHOR CRANKER,28.0
2026-09-24,APTITUDE,32.6
2026-09-24,ASSASSINATOR,32.8
2026-09-24,ASSUMED MISSING,32.0
2026-09-24,ASTON ALARM,31.3
2026-09-24,ASTON BARRISTER,31.0
2026-09-24,ASTON CASTLE,34.6
2026-09-24,ASTON CHANT,24.3
2026-09-24,ASTON CLEESE,32.7
2026-09-24,ASTON EXCLUSIVE,31.2
2026-09-24,ASTON FIXER,33.7
2026-09-24,ASTON FUMIKO,27.0
2026-09-24,ASTON GIOVANNI,29.7
2026-09-24,ASTON GRANDEUR,30.2
2026-09-24,ASTON KATY,26.5
2026-09-24,ASTON MACHINE,33.5
2026-09-24,ASTON MERRICK,31.6
2026-09-24,ASTON NATIONAL,29.7
2026-09-24,ASTON PROTON,26.7
2026-09-24,ASTON SUMMARY,36.9
2026-09-24,ATTICUS,28.4
2026-09-24,AUNTIE AMBER,29.9
2026-09-24,AUNTY FAYE,28.1
2026-09-24,AUSSIE WAGYU,30.6
2026-09-24,AVENGEMENT,33.7
2026-09-24,BANDIT SWAGGER,35.8
2026-09-24,BAROOGA JIM,31.9
2026-09-24,BAROOGA KING,33.7
2026-09-24,BASH BOY GIBLET,37.8
2026-09-24,BEAR IT IS,33.3
2026-09-24,BELAIR BETTY,28.0
2026-09-24,BELAIR CROWN,27.7
2026-09-24,BELAIR LAUREL,27.0
2026-09-24,BERRINGA BLACK,33.9
2026-09-24,BEST FOR LAST,31.6
2026-09-24,BEYOND EASY,30.7
2026-09-24,BIG BOY PANTS,33.5
2026-09-24,BIG COOL,34.0
2026-09-24,BILLIES RAINBOW,28.6
2026-09-24,BINDY BLAZER,27.5
2026-09-24,BIOLLANTE,29.3
2026-09-24,BLACK FRIDAY,32.8
2026-09-24,BLACK VIOLET,28.8
2026-09-24,BLACKBERRY JUICE,30.2
2026-09-24,BLACKPOOL FINN,34.2
2026-09-24,BLACKPOOL WINTER,29.5
2026-09-24,BLIZZARD BYRNE,29.3
2026-09-24,BLOWING TRUMPETS,35.1
2026-09-24,BLUE BOY SHIRAZ,33.1
2026-09-24,BLUE POOLS,36.2
2026-09-24,BOGAN BEND,32.4
2026-09-24,BONE SHAKER,32.1
2026-09-24,BORACAY BELLA,28.4
2026-09-24,BOUNDING CHIEF,36.9
2026-09-24,BRAGGING RIGHTS,32.0
2026-09-24,BRAVE CHARMER,36.5
2026-09-24,BRINDLE MOSAIC,26.8
2026-09-24,BROKEN HALO,35.5
2026-09-24,BROTHER EASY,30.0
2026-09-24,BULL ROSE,32.6
2026-09-24,BUN QUAKE,29.6
2026-09-24,BUSH BIG SHOW,31.8
2026-09-24,BUSH MAYHEM,31.9
2026-09-24,BYE PICKLES,32.5
2026-09-24,CACO MISSILE,32.7
2026-09-24,CALAMITY NINA,26.7
2026-09-24,CALM THE STORM,26.6
2026-09-24,CAN DO GRACE,25.7
2026-09-24,CANDY POPS,27.8
2026-09-24,CANDY STRIDE,27.3
2026-09-24,CANYA TALK NOW,34.0
2026-09-24,CANYA VIVI,26.1
2026-09-24,CARNIVAL KID,33.6
2026-09-24,CHAIN DRIVE,32.6
2026-09-24,CHATTERBUG,27.6
2026-09-24,CHEER CHEER,31.6
2026-09-24,CINNABAR ICON,28.2
2026-09-24,CLARETOWN DARCY,36.2
2026-09-24,CLARETOWN HANNA,28.5
2026-09-24,CLARKEY'S MATE,37.7
2026-09-24,CLASSY DANCER,26.1
2026-09-24,CLAUSE EDWARD,33.0
2026-09-24,CLEAN AIR,28.4
2026-09-24,COLLINDA POPS,27.1
2026-09-24,COLLINDA RAMSAY,32.9
2026-09-24,COME AND SEE,29.3
2026-09-24,CONTACTED,27.2
2026-09-24,COOL DISGUISE,26.8
2026-09-24,COOL FREDDY,30.2
2026-09-24,CORBAN YAXLEY,33.6
2026-09-24,CORNHILL BOOMER,27.3
2026-09-24,CORNHILL HUSTLER,27.6
2026-09-24,CORNHILL SCOUT,29.5
2026-09-24,CORNHILL WARRIOR,30.9
2026-09-24,CRACKERJACK GARY,31.2
2026-09-24,CRASH REBEL,34.1
2026-09-24,CREATIVITY,32.6
2026-09-24,CRIMSON PIRATE,33.2
2026-09-24,CRUISIN' GRAE,29.8
2026-09-24,CRUISING JAMIE,31.9
2026-09-24,CRUSH YOUR RUSH,33.6
2026-09-24,CRUZADO,37.2
2026-09-24,CRY BABY GIBLET,33.5
2026-09-24,DAINTREE GAV,34.7
2026-09-24,DANCING BLUE,27.0
2026-09-24,DARE DEVIL,35.0
2026-09-24,DARK HABITS,28.6
2026-09-24,DASHING DEREK,32.3
2026-09-24,DELATITE BEAST,34.0
2026-09-24,DEMONIC SPIRIT,34.2
2026-09-24,DERRY,33.5
2026-09-24,DETECTION,30.7
2026-09-24,DEVIL'S SYMPATHY,30.6
2026-09-24,DID NOT,27.9
2026-09-24,DID SO,30.0
2026-09-24,DIRTY NALA,26.6
2026-09-24,DIRTY ROXY,27.5
2026-09-24,DOONGALLA DON,32.9
2026-09-24,DOONGALLA MIMIC,33.3
2026-09-24,DREAM ON JUNIOR,30.8
2026-09-24,DRINK WATER,31.3
2026-09-24,DRINKS AFTER,32.3
2026-09-24,DUNSMORE FLYER,30.0
2026-09-24,EL ROJO ROCK,31.4
2026-09-24,ELIJAH ROSE,33.8
2026-09-24,ELITE DARA,34.9
2026-09-24,ELLIS UNIT ONE,33.0
2026-09-24,ESPOIR,25.9
2026-09-24,ETHANOL VISION,26.4
2026-09-24,EVENTUATE,26.0
2026-09-24,EVERGLOW,27.2
2026-09-24,EXCITED TWITCH,26.5
2026-09-24,FAST REPLY,37.8
2026-09-24,FAWN BEAST,27.2
2026-09-24,FEAR THE BEER,32.5
2026-09-24,FIGURE OF SPEECH,29.0
2026-09-24,FIRE RATED,34.7
2026-09-24,FIRE WATER BURN,31.1
2026-09-24,FLAMING SMOOTH,32.7
2026-09-24,FLOURISH,33.0
2026-09-24,FLYER'S GIRL,26.1
2026-09-24,FLYING DUCATI,33.1
2026-09-24,FLYING INTENTION,28.8
2026-09-24,FLYING ROGUE,27.2
2026-09-24,FOXY BARBELLA,30.8
2026-09-24,FREDDY DEEDS,29.8
2026-09-24,FREQUENCY,31.8
2026-09-24,FULL BORE DONNY,34.2
2026-09-24,FULL NOISE,33.5
2026-09-24,FUME TRAIN,30.4
2026-09-24,FURIOUS FALCON,32.8
2026-09-24,GALAXY OF LOVE,25.2
2026-09-24,GAMORA BALE,28.0
2026-09-24,GAPING MARGIN,25.3
2026-09-24,GENERATOR,26.5
2026-09-24,GOLD CODE,29.1
2026-09-24,GOLD TAG,30.8
2026-09-24,GOOSEBUMPS RICO,32.0
2026-09-24,GRAFFITI,35.0
2026-09-24,GRASS IS GREENER,32.2
2026-09-24,GRAVITY RUSH,31.0
2026-09-24,GRAY GROUPER,34.8
2026-09-24,GROOT BALE,35.4
2026-09-24,GUNAI ASH,24.2
2026-09-24,HALF MAC,29.5
2026-09-24,HAPPY DAD,31.5
2026-09-24,HARD LAUNCH,31.6
2026-09-24,HARTLAND ASH,25.3
2026-09-24,HARTLAND BONNIE,25.0
2026-09-24,HARTLAND BUDDY,32.8
2026-09-24,HARTLAND BUSTER,31.2
2026-09-24,HEAVEN ON EARTH,31.6
2026-09-24,HECTIC HARRY,32.7
2026-09-24,HENRIKSEN,32.1
2026-09-24,HERE TO PLAY,25.0
2026-09-24,HIGH COBBER,32.6
2026-09-24,HIGH COTTON,34.0
2026-09-24,HILLBILLY HUNTER,32.2
2026-09-24,HILLBILLY TIGER,28.6
2026-09-24,HIS SPECIAL,33.0
2026-09-24,HOKKAIDO EXPRESS,31.0
2026-09-24,HOLLY ROSE,27.8
2026-09-24,HOLLYWOOD FRANKY,32.7
2026-09-24,HOPE GIBLET,28.4
2026-09-24,HOPE JUAN,32.0
2026-09-24,HOUSE MONEY,33.8
2026-09-24,HOW HIGH,29.9
