date,greyhound,weight_kg
2026-09-14,ADHANA ROY,31.7
2026-09-14,AGENT TWENTY ONE,32.3
2026-09-14,AKINA JACK,35.2
2026-09-14,AKINA RUPEE,35.2
2026-09-14,AKINA SARI,31.6
2026-09-14,ALFIE TANGO,37.5
2026-09-14,ALOFT,36.7
2026-09-14,ALWAYS SPEEDY,27.7
2026-09-14,AMRON MICK,32.5
2026-09-14,ANALYZATION,34.9
2026-09-14,ANCONA,30.4
2026-09-14,ANGRY MURRAY COD,33.2
2026-09-14,ANNIE'S REGRET,26.7
2026-09-14,ANTHOLOGY,32.9
2026-09-14,ANY ACE BRONTE,24.9
2026-09-14,APACHE GOLD,30.5
2026-09-14,ARCHER SWEET,33.7
2026-09-14,ASCEND IGLOO,34.6
2026-09-14,ASSUME FLOPPY,32.1
2026-09-14,ASTON ABRAFO,33.4
2026-09-14,ASTON COMMANDER,33.6
2026-09-14,ASTON ELLIE,27.2
2026-09-14,ASTON EXCESS,35.2
2026-09-14,ASTON HOPKINS,36.0
2026-09-14,ASTON JOSEPH,34.6
2026-09-14,ASTON KILLARA,25.6
2026-09-14,ASTON KRISTEN,26.8
2026-09-14,ASTON MAJOR,32.6
2026-09-14,ASTON MANDLA,31.7
2026-09-14,ASTON NEUTRON,35.3
2026-09-14,ASTON OSTUNI,28.0
2026-09-14,ASTON TIMPANA,28.1
2026-09-14,ASTON VALHALLA,28.9
2026-09-14,ASTOR ONES,28.3
2026-09-14,ATHENS AURA,24.2
2026-09-14,ATTICUS,28.1
2026-09-14,AUNTY CHERYL,28.8
2026-09-14,AUTUMN ROSE,26.5
2026-09-14,BAMBI'S PRIDE,28.4
2026-09-14,BAMBOO RUPEE,28.1
2026-09-14,BAROOGA JIM,32.0
2026-09-14,BAROOGA KING,34.1
2026-09-14,BEAUTY BEAST,32.4
2026-09-14,BELAIR BLUE,31.1
2026-09-14,BELLY RUBS,35.1
2026-09-14,BEN SHIRAZ,33.3
2026-09-14,BERRINGA PADDY,28.0
2026-09-14,BEYOND EASY,31.2
2026-09-14,BICEP,31.9
2026-09-14,BIG BARREL,34.2
2026-09-14,BITTY BUT,24.4
2026-09-14,BLACK ATMOS,31.9
2026-09-14,BLACK XENA,28.7
2026-09-14,BLACKBERRY JUICE,29.9
2026-09-14,BLAME KARISSA,27.1
2026-09-14,BLAZING BLUE ICE,28.2
2026-09-14,BONNIE BEAUTIFUL,26.0
2026-09-14,BORACAY BELLA,28.9
2026-09-14,BOUNDING CHIEF,36.6
2026-09-14,BRAGGING RIGHTS,32.1
2026-09-14,BREAKING CURFEW,24.0
2026-09-14,BRIMSON BANNER,28.1
2026-09-14,BRINDLE SURPRISE,33.4
2026-09-14,BROKEN HALO,35.2
2026-09-14,BROTHER BUB,31.4
2026-09-14,BROTHER EASY,30.5
2026-09-14,BUBBA RAY BANNER,31.2
2026-09-14,BUCK SHINES,37.0
2026-09-14,BULA,31.4
2026-09-14,BULL ROSE,32.4
2026-09-14,BUN QUAKE,30.5
2026-09-14,CALABRESE,31.7
2026-09-14,CALCEUS,30.3
2026-09-14,CAN DO GRACE,25.6
2026-09-14,CAN SHE YAP,27.9
2026-09-14,CARNIVAL KID,33.7
2026-09-14,CATCH SOME RAYS,36.0
2026-09-14,CHAIN DRIVE,33.0
2026-09-14,CHEEKY ALESSIA,29.5
2026-09-14,CHEEKY MEEKI,28.6
2026-09-14,CHEEKY MILA,28.4
2026-09-14,CHEEKY TEMPER,25.7
2026-09-14,CHEER FOR DITTO,31.5
2026-09-14,CHIEF HAMISH,33.9
2026-09-14,CHILL OUT PLATE,30.8
2026-09-14,CINDY CABANG,30.7
2026-09-14,CLARETOWN BLUEY,36.4
2026-09-14,CLEAR SLATE,31.7
2026-09-14,COLLECTIVE KAOS,29.9
2026-09-14,COMANCHE CHIEF,33.5
2026-09-14,COME ON FOX,28.6
2026-09-14,COMEBACK CHARLIE,30.3
2026-09-14,COMMANCHE JACK,31.0
2026-09-14,CONUS,36.5
2026-09-14,CRACKERJACK GREG,32.5
2026-09-14,CRACKERJACK LES,34.7
2026-09-14,CREATIVITY,32.8
2026-09-14,CRIKEY MATE,29.1
2026-09-14,CRUISING NAT,28.1
2026-09-14,CRUSH YOUR RUSH,33.5
2026-09-14,CRUZADO,37.2
2026-09-14,CUCUZZA,31.2
2026-09-14,CUMULATE,34.1
2026-09-14,DADDY COOL,35.0
2026-09-14,DAINTREE GAV,34.3
2026-09-14,DAINTREE MAGGIE,32.6
2026-09-14,DAINTREE RON,29.8
2026-09-14,DAINTREE SPIRIT,29.6
2026-09-14,DARING BANDIT,28.3
2026-09-14,DARK MIRACLE,32.5
2026-09-14,DASH EXPRESS,33.1
2026-09-14,DASH INTENTION,25.0
2026-09-14,DAZZLING DYNAMO,32.5
2026-09-14,DEAL 'EM HIGH,27.6
2026-09-14,DEL AMITRI,31.6
2026-09-14,DELATITE BEAST,34.0
2026-09-14,DESTINI KADALI,27.1
2026-09-14,DESTINI LORENZO,33.8
2026-09-14,DEVIL'S SYMPATHY,31.0
2026-09-14,DIMORA PATCH,33.4
2026-09-14,DIMORA STRIPEY,26.0
2026-09-14,DIRTY FERNANDO,32.7
2026-09-14,DIVOT,31.1
2026-09-14,DOONGALLA EVE,27.8
2026-09-14,DOONGALLA JUSTIN,32.7
2026-09-14,DOONGALLA SHAZIA,24.9
2026-09-14,DR. AURORA,28.7
2026-09-14,DR. AXEL,33.3
2026-09-14,DR. BURMA,25.2
2026-09-14,DR. DOLORES,26.3
2026-09-14,DR. EXCLAIM,37.3
2026-09-14,DR. FALLON,28.0
2026-09-14,DR. FANATICAL,37.9
2026-09-14,DR. LEVIATE,28.4
2026-09-14,DR. LOUIS,31.9
2026-09-14,DR. ODIN,33.2
2026-09-14,DR. POSEIDON,30.6
2026-09-14,DR. TANYA,25.8
2026-09-14,DR. WARREN,36.1
2026-09-14,DR. YORK,31.5
2026-09-14,DR. ZAIDEN,31.4
2026-09-14,DROP FIFTY,35.2
2026-09-14,DUNDEE SKYE,28.6
2026-09-14,EAGLE TEGAN,26.6
2026-09-14,ELECTRA OPAL,26.4
2026-09-14,ELECTROJET,32.7
2026-09-14,ELEVATE,32.4
2026-09-14,ELEVENTH SCOTCH,31.7
2026-09-14,ELITE INTENTION,33.0
2026-09-14,ELSWYK SID,35.0
2026-09-14,ENERGY KISS,30.4
2026-09-14,ESPECIAL KAI,32.4
2026-09-14,EVENTFUL DASH,27.9
2026-09-14,EVIL EYE,35.0
2026-09-14,EXCITABLE DASH,26.5
2026-09-14,EXTREMITY,34.1
2026-09-14,EZARD DASH,28.2
2026-09-14,FADE OUT,27.8
2026-09-14,FERNLEY GIRL,28.1
2026-09-14,FERRET'S KNOCK,26.8
2026-09-14,FIRE RATED,34.8
2026-09-14,FLASH OF GENIUS,32.8
2026-09-14,FLYING BESSIE,27.9
2026-09-14,FLYING BOSS,24.6
2026-09-14,FLYING ROGUE,27.3
2026-09-14,FLYING SARA,28.9
2026-09-14,FLYWHEEL JESS,25.7
2026-09-14,FOLLOW THAT TUNE,30.6
2026-09-14,FORGETTING,25.5
2026-09-14,FRANKIE'S ROCKET,30.8
2026-09-14,FREE STATE,24.9
2026-09-14,FRIDA SCIENCE,25.0
2026-09-14,FULL BORE BUSTER,31.4
2026-09-14,FULL BORE LISA,29.5
2026-09-14,FULL NOISE,33.6
2026-09-14,FURIOUS FALCON,32.7
2026-09-14,GLOWING,29.9
2026-09-14,GO BARBARA,27.1
2026-09-14,GO FISH,33.5
2026-09-14,GO PIKACHU,34.8
2026-09-14,GO STEVIE,33.6
2026-09-14,GOBLIN,26.1
2026-09-14,GOLD STRIPES,32.1
2026-09-14,GOLD TAG,30.9
2026-09-14,GOOD ODDS ROCKY,35.9
2026-09-14,GOT A MESSAGE,31.2
2026-09-14,GRAFFITI,34.8
2026-09-14,GRAVITY SHIFT,33.2
2026-09-14,GRUMPY LION,33.3
2026-09-14,GUNAI ASH,23.6
2026-09-14,GUNAI RAMBO,32.7
2026-09-14,HABITAT,26.2
2026-09-14,HAMMER ROSE,31.4
2026-09-14,HAPPY BUDDHA,32.6
2026-09-14,HAPPY CHICK,26.5
2026-09-14,HARTLAND WILLOW,27.2
2026-09-14,HAY RILEY,30.0
2026-09-14,HEAVENLY STUN ON,29.3
2026-09-14,HER TWELVE STEP,28.7
2026-09-14,HOLLY BLUE GIRL,25.6
2026-09-14,HOLLY ROSE,28.0
2026-09-14,HONEY STIRRER,30.3
2026-09-14,HOT SUMMER SKY,28.0
2026-09-14,HOW HIGH,29.8
2026-09-14,IAN ALBERT,32.6
2026-09-14,ILIUM,25.9
2026-09-14,IMAGINATION,38.6
2026-09-14,IMPETUOUSLY,29.1
2026-09-14,IMPRESS JOE,28.6
2026-09-14,INDY GRANT,27.7
2026-09-14,INDY'S CHARM,30.4
2026-09-14,INGA RYDER,30.0
2026-09-14,IS HE LUCKY,33.6
2026-09-14,IT'S A CHAPPLE,29.4
