date,greyhound,weight_kg
2026-09-22,ABRACADABRA,27.7
2026-09-22,ADHANA ROY,31.6
2026-09-22,ALFIE TANGO,37.4
2026-09-22,ANNIE'S OKAY,29.0
2026-09-22,ANYONE FOR YOU,33.6
2026-09-22,APACHE GOLD,30.3
2026-09-22,ASCEND IGLOO,34.7
2026-09-22,ASTON ADRIANA,28.5
2026-09-22,ASTON ASTAIRE,33.3
2026-09-22,ASTON COSMIC,35.4
2026-09-22,ASTON CURRENCY,31.1
2026-09-22,ASTON FINNISS,23.7
2026-09-22,ASTON HEDLAND,32.7
2026-09-22,ASTON HOPKINS,36.2
2026-09-22,ASTON KRISTEN,26.0
2026-09-22,ASTON MANDLA,32.0
2026-09-22,ASTON MIRREN,25.8
2026-09-22,ASTON MONSOON,32.2
2026-09-22,ASTON MORIALTA,25.3
2026-09-22,ASTON PASTIZZI,27.5
2026-09-22,ASTON PLUTO,26.0
2026-09-22,ASTON SIDNEY,33.3
2026-09-22,ASTON SUNSHINE,26.4
2026-09-22,ASTON TARZAN,32.1
2026-09-22,ASTON TELMONT,32.7
2026-09-22,ASTON VALHALLA,29.0
2026-09-22,ASTON WINSLET,28.4
2026-09-22,ASTOR ONES,28.6
2026-09-22,ATHENS AURA,24.4
2026-09-22,AUNTIE AMBER,29.1
2026-09-22,AUSSIE FERNANDO,34.1
2026-09-22,AXEL'S RADAR,30.8
2026-09-22,AYESHA BALE,28.2
2026-09-22,BAMBOO RUPEE,28.6
2026-09-22,BEANIE THIEF,32.0
2026-09-22,BELAIR BLUE,31.6
2026-09-22,BELLY RUBS,35.1
2026-09-22,BEN SHIRAZ,33.5
2026-09-22,BENARCA BELL,28.7
2026-09-22,BICEP,31.9
2026-09-22,BIG DUKE,35.6
2026-09-22,BIG WATCH,29.3
2026-09-22,BIG WEEKEND,29.5
2026-09-22,BLACK STATESMAN,33.9
2026-09-22,BLAZING BLUE ICE,28.7
2026-09-22,BLUE BREBLER,25.4
2026-09-22,BLUER THAN BLUE,33.3
2026-09-22,BOMB OVER,31.8
2026-09-22,BORDER BEAST,30.9
2026-09-22,BOYS NIGHT,31.7
2026-09-22,BREAKING CURFEW,24.3
2026-09-22,BROTHER BUB,31.3
2026-09-22,BULL DURHAM,32.7
2026-09-22,BUNNI BALE,30.5
2026-09-22,CACKLING SUZIE,26.9
2026-09-22,CALLISTA,32.5
2026-09-22,CANYA DIG DEEP,25.2
2026-09-22,CARLEY'S IMAGE,28.9
2026-09-22,CHALK AND CHEESE,31.4
2026-09-22,CHAMPLAIN,28.7
2026-09-22,CHEEKY CHOMPERS,33.4
2026-09-22,CHEEKY TEMPER,25.7
2026-09-22,CHEER FOR DITTO,31.6
2026-09-22,CHIEF HAMISH,34.8
2026-09-22,CITY LIMIT,32.3
2026-09-22,CLAVICLE,32.3
2026-09-22,CLOUD CITY,31.0
2026-09-22,COIN COLLECTOR,28.3
2026-09-22,COLLECTIVE KAOS,30.0
2026-09-22,COMEBACK CHARLIE,29.9
2026-09-22,COMPARE JOE,32.3
2026-09-22,CRACKERJACK ADAM,31.4
2026-09-22,CRACKERJACK LES,34.7
2026-09-22,CRIKEY MATE,28.9
2026-09-22,CROYDON,32.5
2026-09-22,CRUISING NAT,27.9
2026-09-22,CRUZADO,37.3
2026-09-22,DARE DEVIL,35.0
2026-09-22,DARK MIRACLE,32.9
2026-09-22,DEEP THINKER,33.6
2026-09-22,DEL AMITRI,31.8
2026-09-22,DEVIL'S SYMPATHY,30.9
2026-09-22,DIESEL DYNASTY,29.6
2026-09-22,DIM SIM OLLIE,38.3
2026-09-22,DIMORA BIG BOY,32.4
2026-09-22,DIMORA PATCH,32.9
2026-09-22,DIMORA STRIPEY,25.2
2026-09-22,DIMPLE BRANDY,25.4
2026-09-22,DISCOURAGED,29.9
2026-09-22,DOONGALLA AL,34.1
2026-09-22,DOONGALLA BOY,32.8
2026-09-22,DOONGALLA EVE,27.6
2026-09-22,DOONGALLA GIGI,25.6
2026-09-22,DOONGALLA ROCKET,31.6
2026-09-22,DOUBLE SHOT RIOT,29.3
2026-09-22,DROP FIFTY,34.6
2026-09-22,EAT YOUR SPINACH,34.4
2026-09-22,EGO BALE,29.0
2026-09-22,EL ROJO ROCK,31.3
2026-09-22,ELEVATE,31.8
2026-09-22,ELSWYK SID,35.3
2026-09-22,ENERGISER DASH,28.4
2026-09-22,ENERGY KISS,30.1
2026-09-22,ESPECIAL HUGO,35.6
2026-09-22,ESPECIAL KAI,32.3
2026-09-22,EVENTFUL DASH,28.1
