date,greyhound,weight_kg
2026-09-18,ABOVE THEM ALL,26.2
2026-09-18,ABRACADABRA,27.6
2026-09-18,ADA'S HAND,25.6
2026-09-18,ADRENALINE BURST,33.2
2026-09-18,AFTERGLOW GIRL,30.0
2026-09-18,AGENT TWENTY ONE,32.2
2026-09-18,ALPINE FURY,29.9
2026-09-18,ANALYZATION,35.0
2026-09-18,ANGRY CHIEF,33.3
2026-09-18,ANGRY ELLIE,24.9
2026-09-18,ANTHOLOGY,32.8
2026-09-18,ASH INTENTION,28.7
2026-09-18,ASKERN VIOLET,27.9
2026-09-18,ASTON AQUITAINE,28.6
2026-09-18,ASTON BERRY,31.0
2026-09-18,ASTON CASTLE,34.2
2026-09-18,ASTON CLEESE,32.7
2026-09-18,ASTON COMMANDER,33.1
2026-09-18,ASTON EXCLUSIVE,31.2
2026-09-18,ASTON FINNISS,23.8
2026-09-18,ASTON FONTAINE,34.4
2026-09-18,ASTON HERCULES,33.2
2026-09-18,ASTON LORENZ,32.8
2026-09-18,ASTON MACHINE,33.5
2026-09-18,ASTON NATIONAL,29.6
2026-09-18,ASTON POLICY,27.4
2026-09-18,ASTON PROTON,26.8
2026-09-18,ATTICA BLUE,29.9
2026-09-18,AUSSIE MIRAGE,32.4
2026-09-18,AUSSIE WAGYU,31.0
2026-09-18,AUSTRAL WARRIORS,32.6
2026-09-18,AUTUMN GOLD,25.5
2026-09-18,AUTUMN POPPY,27.6
2026-09-18,AUTUMN ROSE,26.1
2026-09-18,AZERI,26.5
2026-09-18,AZZURRO,31.1
2026-09-18,BAROOGA JIM,32.1
2026-09-18,BASH BOY GIBLET,37.3
2026-09-18,BEAR HAND,30.7
2026-09-18,BEBOP JAZZ,26.8
2026-09-18,BELAIR LAUREL,27.2
2026-09-18,BENARCA ROSE,28.7
2026-09-18,BERGHAIN,25.8
2026-09-18,BEST FOR LAST,31.7
2026-09-18,BETTY'S GARDEN,29.2
2026-09-18,BICEP,31.7
2026-09-18,BIG BARREL,34.2
2026-09-18,BIG BOY PANTS,33.4
2026-09-18,BIG WATCH,29.2
2026-09-18,BINDY BLAZER,27.4
2026-09-18,BIOLLANTE,29.7
2026-09-18,BITTY BUT,24.4
2026-09-18,BLACK MARVEL,35.7
2026-09-18,BLACK RAIDER,30.3
2026-09-18,BLACK STATESMAN,34.0
2026-09-18,BLAZING TURBO,31.2
2026-09-18,BLUE POOLS,36.1
2026-09-18,BLUE TROMBONE,30.5
2026-09-18,BLUER THAN BLUE,33.6
2026-09-18,BOMB OVER,31.9
2026-09-18,BRAVE ISLAND,32.4
2026-09-18,BREAKING CURFEW,24.0
2026-09-18,BREAKN' A SWEAT,34.6
2026-09-18,BROTHER EASY,30.3
2026-09-18,BULL ROSE,32.6
2026-09-18,BURN ALONG,36.0
2026-09-18,BUSH BIG SHOW,31.8
2026-09-18,BUSH CIRCUS,25.7
2026-09-18,BUSH JEWEL,25.5
2026-09-18,BUSH MAYHEM,32.0
2026-09-18,BUSH PROFIT,25.1
2026-09-18,CACKLING SUZIE,26.7
2026-09-18,CACO MAGIC,33.9
2026-09-18,CANYA VIVI,26.1
2026-09-18,CAPRICORN ONE,29.7
2026-09-18,CENTAUREA,33.6
2026-09-18,CHAMPLAIN,28.7
2026-09-18,CHATTERBUG,27.6
2026-09-18,CHEEKY ALESSIA,29.0
2026-09-18,CHEEKY CHOMPERS,33.6
2026-09-18,CHEER CHEER,31.4
2026-09-18,CHEVRON STROLL,28.9
2026-09-18,CHILL OUT PLATE,30.2
2026-09-18,CLEAR SLATE,31.8
2026-09-18,COLLESSIE,30.6
2026-09-18,COLLINDA POPS,27.5
2026-09-18,COMMANCHE JACK,31.5
2026-09-18,COMMISSIONER,35.5
2026-09-18,COMPLETE,26.3
2026-09-18,CONQUER,34.3
2026-09-18,CONTRADICTION,35.6
2026-09-18,COOL DISGUISE,26.8
2026-09-18,CORBAN YAXLEY,33.6
2026-09-18,COUSIN SAL,31.3
2026-09-18,CRACKERJACK KEV,32.6
2026-09-18,CRIMSON PIRATE,32.9
2026-09-18,CRY BABY GIBLET,33.9
2026-09-18,DAINTREE DAMAGE,34.2
2026-09-18,DAPPER JACK,34.2
2026-09-18,DASH INTENTION,25.3
2026-09-18,DAVE,30.7
2026-09-18,DERRY,33.8
2026-09-18,DESPICABLE ANDY,34.3
2026-09-18,DIMORA BIG BOY,32.8
2026-09-18,DIRTY NALA,26.6
2026-09-18,DIRTY ROXY,27.7
2026-09-18,DISPARAGE,34.1
2026-09-18,DIVOT,30.8
2026-09-18,DOONGALLA AL,34.0
2026-09-18,DOONGALLA DON,32.9
2026-09-18,DOONGALLA GHOST,30.4
2026-09-18,DOONGALLA MIMIC,33.0
2026-09-18,DOONGALLA ROCKET,31.4
2026-09-18,DOONGALLA SHANE,30.6
2026-09-18,DOWNER ROAD,31.0
2026-09-18,DREAM ON JUNIOR,30.8
2026-09-18,DRINK WATER,31.8
2026-09-18,DRINKS AFTER,32.2
2026-09-18,DUNDEE PIXIE,26.6
2026-09-18,DUNDEE REX,32.1
2026-09-18,DUNDEE SKYE,28.2
2026-09-18,DYLAN JAMES,29.1
2026-09-18,ELECTROJET,32.7
2026-09-18,ELLA INTENTION,31.5
2026-09-18,ELLIS UNIT ONE,33.1
2026-09-18,ELMA'S GIRL,26.5
2026-09-18,ESPOIR,25.7
2026-09-18,EVENTUATE,26.1
2026-09-18,EXCITED TWITCH,26.5
2026-09-18,FIRE WATER BURN,30.9
2026-09-18,FLAMING SMOOTH,32.6
2026-09-18,FLYING DUCATI,32.5
2026-09-18,FLYING ROYCE,34.6
2026-09-18,FLYING SARA,29.1
2026-09-18,FRANKY'S LASS,26.6
2026-09-18,FURIOUS FALCON,32.3
2026-09-18,GAPING MARGIN,25.3
2026-09-18,GAS AND DUST,31.4
2026-09-18,GENERAL FRANKY,32.1
2026-09-18,GENERATOR,26.4
2026-09-18,GEORGIE SUNSHINE,29.2
2026-09-18,GERONIMO DASH,30.5
2026-09-18,GO FISH,33.3
2026-09-18,GO FLASH GO,37.3
2026-09-18,GO HOME GIRL,27.8
2026-09-18,GOING NUCLEAR,30.5
2026-09-18,GOLD CODE,29.1
2026-09-18,GOLDEN MONELLI,33.2
2026-09-18,GRAY GROUPER,35.2
2026-09-18,GRENADIER,31.5
2026-09-18,GREYSYND BONNIE,27.4
2026-09-18,GRIZZLER,26.3
2026-09-18,GROOT BALE,35.4
2026-09-18,HAMMER ROSE,31.3
2026-09-18,HAPPY DAD,31.7
2026-09-18,HARD COMPASS,33.3
2026-09-18,HARD STYLE ROBBO,30.5
2026-09-18,HE'S MAGIC,29.2
2026-09-18,HEAVEN MADE,25.3
2026-09-18,HERE COMES BILLY,32.8
2026-09-18,HIGH FIVE INDI,29.0
2026-09-18,HIGHWAY HOOLIGAN,34.4
2026-09-18,HILLBILLY TIGER,28.7
2026-09-18,HOKKAIDO EXPRESS,30.7
2026-09-18,HOLDEN BALE,33.9
2026-09-18,HOLLY ROSE,28.1
2026-09-18,HONEY STIRRER,30.1
2026-09-18,HOPE GIBLET,28.9
2026-09-18,HOPE JUAN,32.1
2026-09-18,HOW MUCH LONGER,31.1
2026-09-18,HUGO ROSE,33.4
2026-09-18,I'M TO BLAME,33.0
2026-09-18,ILIUM,25.8
2026-09-18,IMPACTING,32.3
2026-09-18,IMPOSTER,33.6
2026-09-18,INGA JOHNNY,32.7
2026-09-18,INGA JOKER,30.6
2026-09-18,IT'S BUBBLE TIME,30.3
2026-09-18,IVORY INZAI,31.1
2026-09-18,IVORY MIHARA,26.8
2026-09-18,JACQUI MOSS,25.7
2026-09-18,JILL'S FANTASY,27.4
2026-09-18,JOHN BOY,33.2
2026-09-18,JUST QUICKLY,28.2
2026-09-18,KAIA GOT SQUARE,28.9
2026-09-18,KATIE BELL,29.7
2026-09-18,KEN KANEKI,31.3
2026-09-18,KIWI BIRCHIP,36.9
2026-09-18,KIWI HANK,42.9
2026-09-18,KODA,37.8
2026-09-18,KOPACKI RIT,31.1
2026-09-18,KRAKEN GINGER,37.5
2026-09-18,LADY JULIA,28.5
2026-09-18,LADY PERSIMMON,29.0
2026-09-18,LAKEVIEW CHASER,31.0
2026-09-18,LAKEVIEW LIAM,35.9
2026-09-18,LAKEVIEW SKY,28.0
2026-09-18,LAKEVIEW TRACKER,33.3
2026-09-18,LEGACY MAN,30.8
2026-09-18,LEKTRA AELA,24.2
2026-09-18,LEKTRA DAMIAN,34.2
2026-09-18,LEKTRA HARMONY,29.6
2026-09-18,LEKTRA PRINCESS,26.6
2026-09-18,LET'S GO THOMAS,31.4
2026-09-18,LET'S WIN BINGO,25.6
2026-09-18,LIKE A ROCK,32.5
2026-09-18,LINDENOW BUSTER,34.5
2026-09-18,LITTLE AMIGO,33.8
2026-09-18,LITTLE WEASEL,26.3
2026-09-18,LIVIN' LAVISH,31.7
2026-09-18,LOCHINVAR THOR,34.3
2026-09-18,LOCO BOOM,31.6
2026-09-18,LOVE BUG GIBLET,28.5
2026-09-18,LOVE HURTS,32.3
2026-09-18,LOVELY LAINEY,26.9
2026-09-18,LUCKY LIMO,26.5
2026-09-18,LUCKY SPIN,33.3
2026-09-18,LUMBAR,26.1
2026-09-18,MADE EASY,31.7
2026-09-18,MAGIC LOKI,33.0
2026-09-18,MANCHESTER TREV,33.1
2026-09-18,MANTIS BALE,29.1
2026-09-18,MARSHAL LEE ROSE,35.5
2026-09-18,MAXI GRIN,32.5
2026-09-18,MEPUNGA BROCKIE,34.3
2026-09-18,MEPUNGA DONNA,28.8
2026-09-18,MEPUNGA EXPRESS,31.3
2026-09-18,MEPUNGA PHANTOM,32.9
2026-09-18,MEPUNGA RULE,32.1
2026-09-18,MEPUNGA TURBO,31.2
2026-09-18,MEPUNGA VELVET,27.9
2026-09-18,MEPUNGA ZIRCON,33.8
2026-09-18,MEXICAN JACK,32.0
2026-09-18,MICHELIN GIBLET,31.9
2026-09-18,MIDNIGHT JED,32.6
2026-09-18,MIDWAY MISSION,30.6
2026-09-18,MIGHTY HEIGHTY,30.0
2026-09-18,MIKADO MANIA,28.6
2026-09-18,MINH TEDDY,35.3
2026-09-18,MINTER DELICIOUS,24.4
2026-09-18,MISCHIEF MATE,35.1
2026-09-18,MISS COCO,28.5
2026-09-18,MISS INDI BEAR,29.4
2026-09-18,MISTER RICO,33.4
2026-09-18,MISTRESS GRACE,27.2
2026-09-18,MOLLY MCKAYLA,27.2
2026-09-18,MOLLY ROCHELLE,28.3
2026-09-18,MONELLI GIRL,26.8
2026-09-18,MONEY PALACE,32.0
2026-09-18,MONIQUE GIBLET,30.9
2026-09-18,MOONLIGHT MILLER,32.2
2026-09-18,MORAINE ARNIE,34.9
2026-09-18,MORAINE BLUEY,34.5
2026-09-18,MORAINE KOBY,34.2
2026-09-18,MORAINE SARA,26.4
2026-09-18,MORE BEER PLEASE,31.5
2026-09-18,MOTHER GEORGIA,30.0
2026-09-18,MR. JONES,33.0
2026-09-18,MR. KIA ORA,34.9
2026-09-18,MR. WALSH,35.0
2026-09-18,MRS. CHIVES,26.1
2026-09-18,MUGSHOT,34.0
2026-09-18,MY AMBER,26.5
2026-09-18,MY MATE,29.2
