date,greyhound,weight_kg
2026-09-20,AFFORDABILITY,33.6
2026-09-20,ALWAYS SPEEDY,27.9
2026-09-20,AMRON MICK,32.5
2026-09-20,APPLE ROSE,26.8
2026-09-20,APRIL FOOL,31.9
2026-09-20,ARCHER SWEET,33.7
2026-09-20,ARCHIE MCIVOR,31.8
2026-09-20,ASSASSINATOR,32.7
2026-09-20,ASTON BUGSY,33.2
2026-09-20,ASTON MISSILE,34.8
2026-09-20,ASTON OSTUNI,28.3
2026-09-20,ASTON TERESA,28.4
2026-09-20,AUSSIE SUPREME,33.3
2026-09-20,AWESOME BANDIT,30.5
2026-09-20,BANDIT SWAGGER,35.6
2026-09-20,BE MY TIGER,26.8
2026-09-20,BEAUTY BEAST,31.9
2026-09-20,BELAIR ETHYL,27.3
2026-09-20,BERRINGA PADDY,27.5
2026-09-20,BIG BOY COOPER,31.2
2026-09-20,BIG PLAYER,37.9
2026-09-20,BILLY BOY REUBEN,35.0
2026-09-20,BLACK ATMOS,31.8
2026-09-20,BLOWING TRUMPETS,35.1
2026-09-20,BREACH,27.7
2026-09-20,BRINDLE MOSAIC,27.4
2026-09-20,BROOKLYN GIRL,28.6
2026-09-20,BUCK SHINES,37.1
2026-09-20,BULA,31.3
2026-09-20,CANYA BOLT,34.0
2026-09-20,CASH IN SPACE,28.0
2026-09-20,CATCH A CUTIE,28.7
2026-09-20,CATCH SOME RAYS,36.0
2026-09-20,CHARLIE'S ROSE,27.8
2026-09-20,CLEO'S STAR,26.9
2026-09-20,COMANCHE CHIEF,33.5
2026-09-20,COUNT THE STARS,31.0
2026-09-20,CRACKERJACK TREV,33.8
2026-09-20,CRAVING IT,31.8
2026-09-20,DAINTREE GAV,34.5
2026-09-20,DAINTREE MAGGIE,33.0
2026-09-20,DAINTREE RON,29.5
2026-09-20,DAINTREE SPIRIT,29.7
2026-09-20,DARING BANDIT,28.3
2026-09-20,DASH PARR,31.7
2026-09-20,DEADLY FORCE,26.9
2026-09-20,DOONGALLA PARODY,26.6
2026-09-20,DR. AURORA,28.7
2026-09-20,DR. AUTUMN,26.3
2026-09-20,DR. AXEL,33.2
2026-09-20,DR. BENJI,28.4
2026-09-20,DR. BEYOND,33.1
2026-09-20,DR. CALISTA,28.0
2026-09-20,DR. CLARA,26.7
2026-09-20,DR. EXCLAIM,37.1
2026-09-20,DR. FANATICAL,37.9
2026-09-20,DR. HOPPER,40.5
2026-09-20,DR. LEVIATE,28.5
2026-09-20,DR. NAKITA,25.9
2026-09-20,DR. ODIN,33.0
2026-09-20,DR. POSEIDON,30.8
2026-09-20,DR. TRACIE,26.2
2026-09-20,DR. ULMA,27.1
