date,greyhound,weight_kg
2026-09-19,ABOVE THEM ALL,26.2
2026-09-19,ABRACADABRA,27.6
2026-09-19,ADA'S HAND,25.6
2026-09-19,AGENT TWENTY ONE,32.2
2026-09-19,ALPINE FURY,29.9
2026-09-19,ANALYZATION,35.0
2026-09-19,ANGRY CHIEF,33.3
2026-09-19,ANGRY ELLIE,24.9
2026-09-19,ANTHOLOGY,32.8
2026-09-19,ARCHER SWEET,33.7
2026-09-19,ASH INTENTION,28.7
2026-09-19,ASKERN VIOLET,27.9
2026-09-19,ASSASSINATOR,32.7
2026-09-19,ASTON BERRY,31.0
2026-09-19,ASTON LORENZ,32.8
2026-09-19,ASTON MISSILE,34.8
2026-09-19,ASTON NATIONAL,29.6
2026-09-19,ASTON POLICY,27.4
2026-09-19,ASTON PROTON,26.8
2026-09-19,ASTON TERESA,28.4
2026-09-19,ATTICA BLUE,29.9
2026-09-19,AUSSIE MIRAGE,32.4
2026-09-19,AUSSIE WAGYU,31.0
2026-09-19,AUSTRAL WARRIORS,32.6
2026-09-19,AUTUMN GOLD,25.5
2026-09-19,AUTUMN POPPY,27.6
2026-09-19,AWESOME BANDIT,30.5
2026-09-19,AZERI,26.5
2026-09-19,BANDIT SWAGGER,35.6
2026-09-19,BAROOGA JIM,32.1
2026-09-19,BASH BOY GIBLET,37.3
2026-09-19,BEAR HAND,30.7
2026-09-19,BEBOP JAZZ,26.8
2026-09-19,BELAIR ETHYL,27.3
2026-09-19,BENARCA ROSE,28.7
2026-09-19,BERGHAIN,25.8
2026-09-19,BETTY'S GARDEN,29.2
2026-09-19,BIG BARREL,34.2
2026-09-19,BIG BOY COOPER,31.2
2026-09-19,BIG BOY PANTS,33.4
2026-09-19,BIG WATCH,29.2
2026-09-19,BITTY BUT,24.4
2026-09-19,BLACK MARVEL,35.7
2026-09-19,BLACK RAIDER,30.3
2026-09-19,BLAZING TURBO,31.2
2026-09-19,BLUE POOLS,36.1
2026-09-19,BREAKING CURFEW,24.0
2026-09-19,BREAKN' A SWEAT,34.6
2026-09-19,BROOKLYN GIRL,28.6
2026-09-19,BROTHER EASY,30.3
2026-09-19,BULL ROSE,32.6
2026-09-19,BURN ALONG,36.0
2026-09-19,CACO MAGIC,33.9
2026-09-19,CANYA BOLT,34.0
2026-09-19,CANYA VIVI,26.1
2026-09-19,CENTAUREA,33.6
2026-09-19,CHEER CHEER,31.4
2026-09-19,CHEVRON STROLL,28.9
2026-09-19,CHILL OUT PLATE,30.2
2026-09-19,CLEAR SLATE,31.8
2026-09-19,CLEO'S STAR,26.9
2026-09-19,COLLINDA POPS,27.5
2026-09-19,COMMANCHE JACK,31.5
2026-09-19,COMMISSIONER,35.5
2026-09-19,COMPLETE,26.3
2026-09-19,CONQUER,34.3
2026-09-19,CONTRADICTION,35.6
2026-09-19,COUNT THE STARS,31.0
2026-09-19,CRACKERJACK KEV,32.6
2026-09-19,CRACKERJACK TREV,33.8
2026-09-19,CRIMSON PIRATE,32.9
2026-09-19,CRY BABY GIBLET,33.9
2026-09-19,DAINTREE DAMAGE,34.2
2026-09-19,DAPPER JACK,34.2
2026-09-19,DASH PARR,31.7
2026-09-19,DAVE,30.7
2026-09-19,DIRTY NALA,26.6
2026-09-19,DIRTY ROXY,27.7
2026-09-19,DISPARAGE,34.1
2026-09-19,DIVOT,30.8
2026-09-19,DOONGALLA AL,34.0
2026-09-19,DOONGALLA DON,32.9
2026-09-19,DOONGALLA GHOST,30.4
2026-09-19,DOONGALLA MIMIC,33.0
2026-09-19,DOONGALLA PARODY,26.6
2026-09-19,DOWNER ROAD,31.0
2026-09-19,DRINK WATER,31.8
2026-09-19,DRINKS AFTER,32.2
2026-09-19,DUNDEE PIXIE,26.6
2026-09-19,DUNDEE REX,32.1
2026-09-19,DUNDEE SKYE,28.2
2026-09-19,DYLAN JAMES,29.1
2026-09-19,EDIE MONSOON,28.1
2026-09-19,ELECTROJET,32.7
2026-09-19,ELLA INTENTION,31.5
2026-09-19,ELLIS UNIT ONE,33.1
2026-09-19,ELMA'S GIRL,26.5
2026-09-19,EXCITED TWITCH,26.5
2026-09-19,FIRE WATER BURN,30.9
2026-09-19,FLAMING SMOOTH,32.6
2026-09-19,FLYING DUCATI,32.5
2026-09-19,FOXY BARBELLA,30.4
2026-09-19,FRANKY'S LASS,26.6
2026-09-19,GAS AND DUST,31.4
2026-09-19,GENERATOR,26.4
2026-09-19,GEORGIE SUNSHINE,29.2
2026-09-19,GERONIMO DASH,30.5
2026-09-19,GO FISH,33.3
2026-09-19,GO FLASH GO,37.3
2026-09-19,GOLD CLASS COOL,29.9
2026-09-19,GOLDEN MONELLI,33.2
2026-09-19,GRAY GROUPER,35.2
2026-09-19,GRENADIER,31.5
2026-09-19,GREYSYND BONNIE,27.4
2026-09-19,GRIZZLER,26.3
2026-09-19,HAMMER ROSE,31.3
2026-09-19,HAPPY DAD,31.7
2026-09-19,HARD COMPASS,33.3
2026-09-19,HARD STYLE ROBBO,30.5
2026-09-19,HEATHCOTE RUPEE,34.8
2026-09-19,HEAVEN MADE,25.3
2026-09-19,HECTOR DARCY,36.0
2026-09-19,HERE COMES BILLY,32.8
2026-09-19,HIGH FIVE INDI,29.1
2026-09-19,HIGHLY CONNECTED,29.9
2026-09-19,HIGHWAY HOOLIGAN,34.4
2026-09-19,HILLBILLY TIGER,28.7
2026-09-19,HOLLY ROSE,28.1
2026-09-19,HONEST BEERS,25.2
2026-09-19,HOPE GIBLET,28.9
2026-09-19,HOPE JUAN,32.1
2026-09-19,HOW MUCH LONGER,31.1
2026-09-19,HUGO ROSE,33.4
2026-09-19,HURRIEDLY,34.7
2026-09-19,IMPACTING,32.3
2026-09-19,IMPOSTER,33.6
2026-09-19,IRISH ZOE,30.7
2026-09-19,IT'S BUBBLE TIME,30.3
2026-09-19,IVORY MIHARA,26.9
2026-09-19,JACQUI MOSS,25.7
2026-09-19,JILLIBY PIXIE,28.4
2026-09-19,JOHN BOY,33.2
2026-09-19,JOROGUMO,33.7
2026-09-19,JUST QUICKLY,28.2
2026-09-19,KAIA GOT SQUARE,28.9
2026-09-19,KING OF CHAOS,32.6
2026-09-19,KISS FOR CASH,29.5
2026-09-19,KODA,37.8
2026-09-19,KOPACKI RIT,31.1
2026-09-19,KRAKEN GINGER,37.5
2026-09-19,LADY JULIA,28.5
2026-09-19,LADY PERSIMMON,29.0
