date,greyhound,weight_kg
2026-09-13,AGENT TWENTY ONE,32.3
2026-09-13,AKINA JACK,35.2
2026-09-13,AKINA RUPEE,35.2
2026-09-13,AKINA SARI,31.6
2026-09-13,ALOFT,36.7
2026-09-13,AMRON MICK,32.5
2026-09-13,AMRON TOY,32.4
2026-09-13,ANALYZATION,34.9
2026-09-13,ANGRY MURRAY COD,33.2
2026-09-13,ANTHOLOGY,32.9
2026-09-13,ASCEND IGLOO,34.6
2026-09-13,ASSASSINATOR,32.9
2026-09-13,ASTON AQUITAINE,28.9
2026-09-13,ASTON COMMANDER,33.6
2026-09-13,ASTON HOPKINS,36.0
2026-09-13,ASTON MACHINE,33.4
2026-09-13,ASTON MISSILE,34.8
2026-09-13,ASTON OSTUNI,28.0
2026-09-13,ASTON TIMPANA,28.1
2026-09-13,AUSSIE MOSS,30.9
2026-09-13,AUTUMN ROSE,26.5
2026-09-13,AYDEN'S WARRIOR,33.3
2026-09-13,BAILIESTON,25.5
2026-09-13,BALDING SANDY,28.8
2026-09-13,BAROOGA JIM,32.0
2026-09-13,BEAUTY BEAST,32.4
2026-09-13,BERRINGA PADDY,28.0
2026-09-13,BICEP,31.9
2026-09-13,BLACK ATMOS,31.9
2026-09-13,BLACK THUMB,31.5
2026-09-13,BOMB OVER,31.9
2026-09-13,BRIMSON BANNER,28.1
2026-09-13,BRINDLE SURPRISE,33.4
2026-09-13,BROKEN HALO,35.2
2026-09-13,BROOKLYN GIRL,28.6
2026-09-13,BUBBA RAY BANNER,31.2
2026-09-13,BULA,31.4
2026-09-13,BULL ROSE,32.4
2026-09-13,CANYA EXCITE ME,29.7
2026-09-13,CANYA TORNADO,35.8
2026-09-13,CATCH SOME RAYS,36.0
2026-09-13,CHAMPLAIN,28.4
2026-09-13,CHILL OUT PLATE,30.8
2026-09-13,CLEAR SLATE,31.7
2026-09-13,CLEO'S STAR,27.2
2026-09-13,COMANCHE CHIEF,33.5
2026-09-13,COMMANCHE JACK,31.0
2026-09-13,COUNT THE STARS,30.8
2026-09-13,CRACKERJACK LES,34.7
