date,greyhound,weight_kg
2026-09-21,ADHANA ROY,31.6
2026-09-21,AFFORDABILITY,33.6
2026-09-21,ALWAYS SPEEDY,27.9
2026-09-21,AMRON MICK,32.5
2026-09-21,APACHE GOLD,30.3
2026-09-21,APPLE ROSE,26.8
2026-09-21,APRIL FOOL,31.9
2026-09-21,ARCHIE MCIVOR,31.8
2026-09-21,ASCEND IGLOO,34.7
2026-09-21,ASTON ASTAIRE,33.3
2026-09-21,ASTON BUGSY,33.2
2026-09-21,ASTON COSMIC,35.4
2026-09-21,ASTON CURRENCY,31.1
2026-09-21,ASTON HOPKINS,36.2
2026-09-21,ASTON KRISTEN,26.0
2026-09-21,ASTON MANDLA,32.0
2026-09-21,ASTON MIRREN,25.8
2026-09-21,ASTON OSTUNI,28.3
2026-09-21,ASTON SIDNEY,33.3
2026-09-21,ASTON TARZAN,32.1
2026-09-21,ASTON TELMONT,32.7
2026-09-21,ASTON VALHALLA,29.0
2026-09-21,ASTON WINSLET,28.4
2026-09-21,ASTOR ONES,28.6
2026-09-21,ATHENS AURA,24.4
2026-09-21,AUSSIE SUPREME,33.3
2026-09-21,AXEL'S RADAR,30.8
2026-09-21,BAMBOO RUPEE,28.6
2026-09-21,BE MY TIGER,26.8
2026-09-21,BEAUTY BEAST,31.9
2026-09-21,BELAIR BLUE,31.6
2026-09-21,BELLY RUBS,35.1
2026-09-21,BEN SHIRAZ,33.5
2026-09-21,BENARCA BELL,28.7
2026-09-21,BERRINGA PADDY,27.5
2026-09-21,BICEP,31.9
2026-09-21,BIG PLAYER,37.9
2026-09-21,BIG WATCH,29.3
2026-09-21,BIG WEEKEND,29.5
2026-09-21,BILLY BOY REUBEN,35.0
2026-09-21,BLACK ATMOS,31.8
2026-09-21,BLAZING BLUE ICE,28.7
2026-09-21,BLOWING TRUMPETS,35.1
2026-09-21,BLUE BREBLER,25.4
2026-09-21,BLUER THAN BLUE,33.3
2026-09-21,BOMB OVER,31.8
2026-09-21,BOYS NIGHT,31.7
2026-09-21,BREACH,27.7
2026-09-21,BREAKING CURFEW,24.3
2026-09-21,BRINDLE MOSAIC,27.4
2026-09-21,BROTHER BUB,31.3
2026-09-21,BUCK SHINES,37.1
2026-09-21,BULA,31.3
2026-09-21,BULL DURHAM,32.7
2026-09-21,BUNNI BALE,30.5
2026-09-21,CALLISTA,32.5
2026-09-21,CANYA DIG DEEP,25.2
2026-09-21,CASH IN SPACE,28.0
2026-09-21,CATCH A CUTIE,28.7
2026-09-21,CATCH SOME RAYS,36.0
2026-09-21,CHALK AND CHEESE,31.4
2026-09-21,CHAMPLAIN,28.7
2026-09-21,CHARLIE'S ROSE,27.8
2026-09-21,CHEEKY CHOMPERS,33.4
2026-09-21,CHEEKY TEMPER,25.7
2026-09-21,CHEER FOR DITTO,31.6
2026-09-21,CHIEF HAMISH,34.8
2026-09-21,CLOUD CITY,31.0
2026-09-21,COIN COLLECTOR,28.3
2026-09-21,COLLECTIVE KAOS,30.0
2026-09-21,COMANCHE CHIEF,33.5
2026-09-21,COMEBACK CHARLIE,29.9
2026-09-21,CRACKERJACK LES,34.7
2026-09-21,CRAVING IT,31.8
2026-09-21,CRIKEY MATE,28.9
2026-09-21,CRUISING NAT,27.9
2026-09-21,CRUZADO,37.3
2026-09-21,DAINTREE GAV,34.5
2026-09-21,DAINTREE MAGGIE,33.0
2026-09-21,DAINTREE RON,29.5
2026-09-21,DAINTREE SPIRIT,29.7
2026-09-21,DARE DEVIL,35.0
2026-09-21,DARING BANDIT,28.3
2026-09-21,DARK MIRACLE,32.9
2026-09-21,DEADLY FORCE,26.9
2026-09-21,DEL AMITRI,31.8
2026-09-21,DEVIL'S SYMPATHY,30.9
2026-09-21,DIM SIM OLLIE,38.3
2026-09-21,DISCOURAGED,29.9
2026-09-21,DOONGALLA BOY,32.8
2026-09-21,DR. AURORA,28.7
2026-09-21,DR. AUTUMN,26.3
2026-09-21,DR. AXEL,33.2
2026-09-21,DR. BENJI,28.4
2026-09-21,DR. BEYOND,33.1
2026-09-21,DR. CALISTA,28.0
2026-09-21,DR. CLARA,26.7
